gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
891065275	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/31518	Animalia	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber		SPECIES	Heterocephalus glaber Rüppell, 1842	Heterocephalus glaber		KE		Samburu	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	0.8699	37.31477							2011-09-04T12:52:00	4	9	2011	5219654	5219654	HUMAN_OBSERVATION	iNaturalist	Observations	31518		Matt Muir	2011-09-18T14:42:04	CC_BY_4_0	Matt Muir	Matt Muir			2023-12-12T06:57:54.733Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
865726947	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber		SPECIES	Heterocephalus glaber Rüppell, 1842	Heterocephalus glaber Rüppell, 1842		KE			PRESENT		23539a57-1347-4dd3-af2a-cf9478563baa	-0.024	37.887											5219654	5219654	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-926.056				CC_BY_NC_4_0		G. Barbey			2023-09-07T05:24:58.601Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726937	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber		SPECIES	Heterocephalus glaber Rüppell, 1842	Heterocephalus glaber Rüppell, 1842		KE			PRESENT		23539a57-1347-4dd3-af2a-cf9478563baa	-0.024	37.887											5219654	5219654	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-926.055				CC_BY_NC_4_0		G. Barbey			2023-09-07T05:24:58.601Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726934	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber		SPECIES	Heterocephalus glaber Rüppell, 1842	Heterocephalus glaber Rüppell, 1842		KE			PRESENT		23539a57-1347-4dd3-af2a-cf9478563baa	-0.024	37.887											5219654	5219654	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-926.054				CC_BY_NC_4_0		G. Barbey			2023-09-07T05:24:58.601Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
859433184	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-89633	Animalia	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber		SPECIES	Heterocephalus glaber Rüppell, 1842	Heterocephalus glaber		KE		N. Frontier Province	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862	0.25	37.35											5219654	5219654	PRESERVED_SPECIMEN	AMNH	Mammals	M-89633				CC0_1_0		J. Anderson		Native	2023-09-07T10:38:52.007Z		GEODETIC_DATUM_ASSUMED_WGS84
859433179	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-89632	Animalia	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber		SPECIES	Heterocephalus glaber Rüppell, 1842	Heterocephalus glaber		KE		N. Frontier Province	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862	0.25	37.35											5219654	5219654	PRESERVED_SPECIMEN	AMNH	Mammals	M-89632				CC0_1_0		J. Anderson		Native	2023-09-07T10:38:51.786Z		GEODETIC_DATUM_ASSUMED_WGS84
859433174	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-89631	Animalia	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber		SPECIES	Heterocephalus glaber Rüppell, 1842	Heterocephalus glaber		KE		N. Frontier Province	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862	0.25	37.35											5219654	5219654	PRESERVED_SPECIMEN	AMNH	Mammals	M-89631				CC0_1_0		J. Anderson		Native	2023-09-07T10:38:50.272Z		GEODETIC_DATUM_ASSUMED_WGS84
859433168	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-89630	Animalia	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber		SPECIES	Heterocephalus glaber Rüppell, 1842	Heterocephalus glaber		KE		N. Frontier Province	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862	0.25	37.35											5219654	5219654	PRESERVED_SPECIMEN	AMNH	Mammals	M-89630				CC0_1_0		J. Anderson		Native	2023-09-07T10:38:51.624Z		GEODETIC_DATUM_ASSUMED_WGS84
859433163	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-89629	Animalia	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber		SPECIES	Heterocephalus glaber Rüppell, 1842	Heterocephalus glaber		KE		N. Frontier Province	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862	0.25	37.35											5219654	5219654	PRESERVED_SPECIMEN	AMNH	Mammals	M-89629				CC0_1_0		J. Anderson		Native	2023-09-07T10:38:49.479Z		GEODETIC_DATUM_ASSUMED_WGS84
859433158	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-89628	Animalia	Chordata	Mammalia	Rodentia	Bathyergidae	Heterocephalus	Heterocephalus glaber		SPECIES	Heterocephalus glaber Rüppell, 1842	Heterocephalus glaber		KE		N. Frontier Province	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862	0.25	37.35											5219654	5219654	PRESERVED_SPECIMEN	AMNH	Mammals	M-89628				CC0_1_0		J. Anderson		Native	2023-09-07T10:38:52.093Z		GEODETIC_DATUM_ASSUMED_WGS84
