Id,Scientific name,Interaction Type,Family ,Genus ,Specific epithet ,Plant,Scientific name authorship,Vernacular name,English vernacular name,Pollinators ref
1,Acamptopoeum prinii,Pollinates,Amaryllidaceae,Allium,cepa var. crioula alto vale,Allium cepa var. crioula alto vale,L.,cebola,onion,"Witter, S.; Blochtein, B. 2033. Efeito da polinização por abelhas e outros insetos na produção de sementes de cebola. Pesq. agropec. bras. vol.38 no.12 pp. 1399-1407."
2,Acamptopoeum prinii,Pollinates,Amaryllidaceae,Allium,cepa var. bola precoce,Allium cepa var. bola precoce,L.,cebola,onion,"Witter, S.; Blochtein, B. 2033. Efeito da polinização por abelhas e outros insetos na produção de sementes de cebola. Pesq. agropec. bras. vol.38 no.12 pp. 1399-1407."
3,Aparatrigona impunctata,Pollinates,Malvaceae,Theobroma,grandiflorum,Theobroma grandiflorum,(Willd. ex Spreng.) K. Schum.,cupuaçu,cupuassu,"Gribel R. 2008. Pollination ecology and pollinator management in Cupuassu (Theobroma grandiflorum Willd. Ex Spreng. Schum. Sterculiaceae), an amazonian fruit-tree of promising economic importance. In: Ministry of Environment. Pollinators management in Brazil. Ministry of Environment, Brasilia, p.14-17."
4,Aparatrigona impunctata,Pollinates,Malvaceae,Theobroma,grandiflorum,Theobroma grandiflorum,(Willd. ex Spreng.) K. Schum.,cupuaçu,cupuassu,"GRIBEL, R.; QUEIROZ, A. L.; ASSIS, M. G.; OLIVEIRA, F. F.; QUEIROZ, M. L.; PALÁCIO, C. Polinização e manejo dos polinizadores do cupuaçu (Theobroma grandiflorum). Manaus: INPA, 2008. 32 p."
5,Aparatrigona impunctata,Pollinates,Malvaceae,Theobroma,grandiflorum,Theobroma grandiflorum,(Willd. ex Spreng.) K. Schum.,cupuaçu,cupuassu,"Maués MM, Souza LA, Miyanaga R. 2000. Insetos polinizadores do cupuaçuzeiro (Theobroma grandiflorum (Willd. Ex Sprengel) Schum- Sterculiaceae) no Estado do Pará, Brasil. Circular técnica n° 12 Embrapa Amazônia Oriental"
6,Aparatrigona impunctata,Pollinates,Malvaceae,Theobroma,grandiflorum,Theobroma grandiflorum,(Willd. ex Spreng.) K. Schum.,cupuaçu,cupuassu,"Maués, M.M.; Sousa, L.A.; Miyanaga, R. 2000. Insetos polinizadores do Cupuacuzeiro (Theobroma grandiflorum (Willd. Ex Sprengel) Schum - Sterculiaceae) no Estado do Pará, Brasil. Belém : Embrapa Amazonia Oriental,. 19p. (Circular Técnica, 12)."
7,Aparatrigona impunctata,Pollinates,Malvaceae,Theobroma,grandiflorum,Theobroma grandiflorum,(Willd. ex Spreng.) K. Schum.,cupuaçu,cupuassu,"Venturieri GC, Maués MM, Miyanaga R. 1997. Polinização do cupuaçuzeiro (Theobroma grandiflorum, Sterculiaceae): Um caso de cantarofilia em uma fruteira amazônica. Seminário internacional sobre pimenta-do-reino e Cupuaçu. ISSN 0101-2835, p.341-350."
8,Aparatrigona impunctata,Pollinates,Fabaceae,Vouacapoua,americana,Vouacapoua americana,Aubl.,acapú,acapú,"Maués MM, Santos LFC, Macqueen D, Martins-da-Silva RCV. 1999. Biologia da polinização do Acapu (Vouacapoua americana Aubl. Leguminosae), uma essência florestal amazônica. Resumos Expandidos. Silvicultura na Amazônia Oriental. Documento n? 123 ISSN 0101-2835"
9,Apis mellifera,Pollinates,Sapindaceae,Talisia,esculenta,Talisia esculenta,(A. St.-Hil.) Radlk.,pitomba,pitomba,Castro M.S. 2002. Bee fauna of some tropical and exotic fruits: Potencial pollinators and their conservation. In: Kevan P & Imperatriz-Fonseca VL (e)- Pollinating bees- The Conservation Link Between Agriculture and Nature-Mnistry of Enviroment/ Brasilia. p.275-288.
10,Apis mellifera,Pollinates,Myrtaceae,Eugenia,punicifolia,Eugenia punicifolia,(Kunth) DC.,pedra-ume caá,pedra hume caa,"Silva ALG, Pinheiro MCB. 2007. Biologia floral e da polinização de quatro espécies de Eugenia L. (Myrtaceae). Acta bot. bras. 21(1): 235-247."
11,Apis mellifera,Pollinates,Fabaceae,Glycine,max var. BRS-133,Glycine max var. BRS-133,(L.) Merr.,soja,soybean,"Chiari WV, Toledo VAA, Ruvolo-Takasusuki MCC, Sofia SH, Mitsui MH, Kotaka CS, Magalhães HR. 2002. Levantamento das abelhas visitantes em flores de soja (Glycine max L. Merrill). Anais do V Encontro sobre Abelhas de Ribeirão Preto, p.332."
12,Apis mellifera,Pollinates,Fabaceae,Glycine,max (L.) Merrill] Roundup Ready™,Glycine max (L.) Merrill] Roundup Ready™,(L.) Merr.,soja,soybean,"Chiari, W.C.; Toledo2, V.A.A.; Hoffmann-Campo, C.H.; Rúvolo-Takasusuki, M.C.C.; Toledo, T.C.S.O.A.; Lopes, T.S. Polinização por Apis mellifera em soja transgênica [Glycine max (L.) Merrill] Roundup Ready™ cv. BRS 245 RR e convencional cv. BRS 133. Maringá, v. 30, n. 2, p. 267-271, 2008"
13,Apis mellifera,Pollinates,Fabaceae,Glycine,max,Glycine max,(L.) Merr.,soja,soybean,"Milfont, M.O.; Freitas, B.M.; Lima, A.O.N.; Rocha, E.E.M.; Andrade, P.B.; Cavalcante, M.C.; Oliveira, M.O.; Cipriano, R.M. 2010. O USO DE Apis mellifera (L) NA POLINIZAÇÃO DA SOJA (Glycine max (L) Merril) PODE LEVAR A INCREMENTOS NA PRODUTIVIDADE? Encontro sobre abelhas. Ribeirão Preto. p. 388."
14,Apis mellifera,Pollinates,Malvaceae,Abelmoschus ,esculentus,Abelmoschus esculentus,(L.) Moench,quiabo,okra tree,"Malerbo-Souza, D.T.; Toledo, V.A.A.; Stuchi, A.C.; Toledo, J.O.A. Estudo sobre a polinização do quiabeiro, Abelmoschus esculentus (L.) Moench. Maringá, v. 23, n. 5, p. 1281-1285, 2001"
15,Apis mellifera,Pollinates,Rubiaceae,Citrus,sinensis,Citrus sinensis,(L.) Osbeck,laranjeira,orange tree,"Dib, V.; MENENGUELO, F.H.; MALERBO-SOUZA, D.T. 2010. IMPORTÂNCIA DAS ABELHAS NA PRODUÇÃO DE LARANJAS (Citrus sinensis L. OSBECK), VAR. “PÊRA-RIO”, EM COLINA, SP. Encontro sobre abelhas. Ribeirão Preto. p. 401."
16,Apis mellifera,Pollinates,Rubiaceae,Citrus,sinensis,Citrus sinensis,(L.) Osbeck,laranjeira,orange tree,"Gamito, L.M.; Malerbo-Souza, D.T. Visitantes florais e produção de frutos em cultura de laranja (Citrus sinensis L. Osbeck). Maringá, v. 28, n. 4, p. 483-488, Oct./Dec., 2006"
17,Apis mellifera,Pollinates,Rutaceae,Citrus,sinensis,Citrus sinensis,(L.) Osbeck,laranjeira,orange tree,"Malerbo-Souza DT, Nogueira-Couto RH, Couto LA. 2003. Pollination in orange sweet crop (Citrus sinensis L. Osbeck, var. Pera-rio). Brazilian Journal of Veterinary Research and Animal Science. 40: 237-242."
18,Apis mellifera,Pollinates,Rubiaceae,Citrus,sinensis,Citrus sinensis,(L.) Osbeck,laranjeira,orange tree,"Nascimento, E.T.; Pérez-Maluf, R.; Guimarães, R.A.; Castellani, M.A. Diversidade de abelhas visitantes das flores de Citrus em pomares de laranjeira e tangerineira. Rev. Bras. Frutic. vol.33 no.1 pp. 111-117, 2011"
19,Apis mellifera,Pollinates,Cucurbitaceae,Citrullus,lanatus,Citrullus lanatus,(Thunb.) Mansf.,melancia,watermelon,Souza FF & Malerbo-Souza T. 2005. Flowering entomofauna and fruit production in watermelon (Citrullus lanatus Thunb.)- Cucurbitaceae. Acta Scientiarum. Agron. 27: 449-454.
20,Apis mellifera,Pollinates,Anacardiaceae,Spondias,tuberosa,Spondias tuberosa,Arruda,umbu,umbu,"BARRETO, L. S.; LEAL, S. M.; ANJOS, J. C. dos; CASTRO, M. S. de. Tipos polínicos dos visitantes florais do umbuzeiro (Spondias tuberosa, Anacardiaceae) no Território Indígena Pankararé. Candombá, v. 2, n. 2, p. 80-85, 2006."
21,Apis mellifera,Pollinates,Anacardiaceae,Spondias,tuberosa,Spondias tuberosa,Arruda,umbu,umbu,"Nadia TL, Machado IC, Lopes AV. 2007. Polinização de Spondias tuberosa Arruda (Anacardiaceae) e análise da partilha de polinizadores com Ziziphus joazeiro Mart. (Rhamnaceae), espécies frutíferas e endêmicas da caatinga. Revista Brasileira de Botânica 30: 89-100."
22,Apis mellifera,Pollinates,Anacardiaceae,Spondias,tuberosa,Spondias tuberosa,Arruda,umbu,umbu,"NADIA, T.L.; MACHADO, I.C.; LOPES, A.V. 2007. Polinização de Spondias tuberosa Arruda (Anacardiaceae) e análise da partilha de polinizadores com Ziziphus joazeiro Mart. (Rhamnaceae), espécies frutíferas e endêmicas da caatinga. Revista Brasil. Bot., V.30, p.89-100."
23,Apis mellifera,Pollinates,Anacardiaceae,Spondias,tuberosa,Spondias tuberosa,Arruda,umbu,umbu,"Viana BF. 2008. Management plans for fruit crop pollinators in the states of Bahia and Pernambuco, Northeastern Brazil.  In: Ministry of Environment. Pollinators management in Brazil. Ministry of Environment. Brasília, p. 38-40."
24,Apis mellifera,Pollinates,Anacardiaceae,Spondias,tuberosa,Spondias tuberosa,Arruda,umbu,umbu,"Viana BF. 2008. Management plans for fruit crop pollinators in the states of Bahia and Pernambuco, Northeastern Brazil.  In: Ministry of Environment. Pollinators management in Brazil. Ministry of Environment. Brasília, p. 38-40."
25,Apis mellifera,Pollinates,Fabaceae,Vouacapoua,americana,Vouacapoua americana,Aubl.,acapú,acapú,"Maués MM, Santos LFC, Macqueen D, Martins-da-Silva RCV. 1999. Biologia da polinização do Acapu (Vouacapoua americana Aubl. Leguminosae), uma essência florestal amazônica. Resumos Expandidos. Silvicultura na Amazônia Oriental. Documento n? 123 ISSN 0101-2835"
26,Apis mellifera,Pollinates,Rutaceae,Citrus,reticulata var Ponkan,Citrus reticulata var Ponkan,B.,tangerina,tangerine,"Guimarães, R.A. 2006. ABELHAS (HYMENOPTERA: APOIDEA) VISITANTES DAS FLORES DE GOIABA (Psidium guajava L.), LARANJA (Citrus sinensis L.) E TANGERINA (Citrus reticulata B.) EM POMARES COMERCIAIS EM SALINAS – MG. Dissertação de mestrado. Universidade Estadual do Sudoeste da Bahia. Pp 85."
27,Apis mellifera,Pollinates,Rubiaceae,Coffea,arabica var. bourbon,Coffea arabica var. bourbon,B. Rodr.,café,coffee,"Nogueira-Neto, P.; Carvalho, A.; Antunes Filho, H. Efeito da exclusão dos insetos polinizadores na produção do café Bourbon. Bragantia vol.18 no.unico pp. 441-468, 1959."
28,Apis mellifera,Pollinates,Rutaceae,Citrus,reticulata,Citrus reticulata,Blanco,tangerina,tangerine,"Guedes HS, Evangelista-Rodrigues A, Gomes AM de A, Gois, GC, Oliveira RA de. 2012. Comparação da frequência entre Apis mellifera e Melipona scutellaris em Tangerina Dancy (Citrus reticulata Blanco).  Documentos online EMBRAPA 249. ISSN 18090003"
29,Apis mellifera,Pollinates,Rubiaceae,Citrus,reticulata,Citrus reticulata,Blanco,tangerina,tangerine,"Nascimento, E.T.; Pérez-Maluf, R.; Guimarães, R.A.; Castellani, M.A. Diversidade de abelhas visitantes das flores de Citrus em pomares de laranjeira e tangerineira. Rev. Bras. Frutic. vol.33 no.1 pp. 111-117, 2011"
30,Apis mellifera,Pollinates,Lecythidaceae,Bertholletia,excelsa,Bertholletia excelsa,Bonpl,castanheira do brasil,brazil nut tree,"Freitas, B.M.; Cavalcante, M.C. 2008. Visitantes Florais e Polinização da Castanha do Brasil (Bertholletia excelsa) em Cultivo Comercial na Floresta Amazônica. Encontro sobre Abelhas. Ribeirão Preto, p.58-64."
31,Apis mellifera,Pollinates,Rosaceae,Malus,domestica,Malus domestica,Borkh.,maçã,apple,"Viana, BF; Silva, FO; Castagnino, G; Coutinho JG; Gramacho, KP; Garibaldi, LA. 2014. Stingless bees further improve apple pollinations and production. Journal of Pollination Ecology 14: 261-269."
32,Apis mellifera,Pollinates,Euphorbiaceae,Manihot,esculenta,Manihot esculenta,Crantz,mandioca,cassava,"SILVA, R.M.; BANDEL, G.; FARALDO, M.I.F.; MARTINS, P.S. Biologia reprodutiva de etnovariedades de mandioca. Sci. agric. [online]. 2001, vol.58, n.1, pp. 101-107."
