sourceTaxonName,interactionTypeName,targetTaxonName,Mass_kg,Mass_source,decimalLatitude,decimalLongitude,localityName,sourceCitation
Lycaon pictus,preysOn,Aepyceros melampus,63.50384,Tamburello_etal_2015,-2.33333,34.83333,Serengeti savanna ecosystem in Tanzania,"Sarah E Miller. 7/27/2015. Baskerville, E.B. et al. (2011) Spatial guilds in the Serengeti food web revealed by a Bayesian group model. PLoS Comp. Biol. 7, e1002321"
Lycaon pictus,eats,Aepyceros melampus,63.50384,Tamburello_etal_2015,-23.9946,31.5552,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Lycaon pictus,eats,Aepyceros melampus,63.50384,Tamburello_etal_2015,-20.08333333,32,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Lycaon pictus,eats,Aepyceros melampus,63.50384,Tamburello_etal_2015,-24.85,31.58333333,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Lycaon pictus,eats,Aepyceros melampus,63.50384,Tamburello_etal_2015,-28.684698,30.799286,Somkhanda Game Reserve/Zimanga Private Game Reserve/Manyoni Game Reserve/uMkuze Game Reserve/Thanda Royal Private Game Reserve,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Lycaon pictus,eats,Aepyceros melampus,63.50384,Tamburello_etal_2015,-24.075,28.14166667,Multiple sites,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Lycaon pictus,eats,Aepyceros melampus,63.50384,Tamburello_etal_2015,-24.32152778,27.97847223,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Lycaon pictus,eats,Aepyceros melampus,63.50384,Tamburello_etal_2015,-28.08333334,31.93333334,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Lycaon pictus,eats,Aepyceros melampus,63.50384,Tamburello_etal_2015,-24.075,28.14166667,Multiple sites,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Lycaon pictus,eats,Aepyceros melampus,63.50384,Tamburello_etal_2015,-20.08333333,32,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Lycaon pictus,eats,Aepyceros melampus,63.50384,Tamburello_etal_2015,-2.3397,34.8341,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Lycaon pictus,eats,Aepyceros melampus,63.50384,Tamburello_etal_2015,-14.5001,26.1667,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
