finest_taxon,kingdom,class,order,family,genus,species,Mass_kg,Mass_source,
Aepyceros melampus,Metazoa,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,63.50384,Tamburello_etal_2015,
Arthropoda,Metazoa,NA,NA,NA,NA,NA,NA,NA,
Aves,Metazoa,Aves,NA,NA,NA,NA,NA,NA,
Insecta,Metazoa,Insecta,NA,NA,NA,NA,NA,NA,
Mammalia,Metazoa,Mammalia,NA,NA,NA,NA,NA,NA,
Raphicerus sharpei,Metazoa,Mammalia,Artiodactyla,Bovidae,Raphicerus,Raphicerus sharpei,9.49992,EltonTraits,
Vertebrata,Metazoa,NA,NA,NA,NA,NA,NA,NA,
Actinopterygii,Metazoa,NA,NA,NA,NA,NA,NA,NA,
Alaria,Metazoa,Trematoda,Diplostomida,Diplostomidae,Alaria,NA,NA,NA,
Alces alces,Metazoa,Mammalia,Artiodactyla,Cervidae,Alces,Alces alces,307.22744,Tamburello_etal_2015,
Ammospermophilus,Metazoa,Mammalia,Rodentia,Sciuridae,Ammospermophilus,NA,NA,NA,
Amphispiza bilineata,Metazoa,Aves,Passeriformes,Passerellidae,Amphispiza,Amphispiza bilineata,0.0135,EltonTraits,
Anas,Metazoa,Aves,Anseriformes,Anatidae,Anas,NA,NA,NA,
Anas acuta,Metazoa,Aves,Anseriformes,Anatidae,Anas,Anas acuta,0.94,Hein_Gillooly_2011,
Anas cyanoptera,Metazoa,Aves,Anseriformes,Anatidae,Spatula,Spatula cyanoptera,0.37745,EltonTraits,
Anas platyrhynchos,Metazoa,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,1.082,Jenkins_etal_2007,
Anatidae,Metazoa,Aves,Anseriformes,Anatidae,NA,NA,NA,NA,
Anaxyrus boreas,Metazoa,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,0.0402,Carey 1979 (https://link.springer.com/article/10.1007/BF00348070),
Animalia,Metazoa,NA,NA,NA,NA,NA,NA,NA,
Antilocapra americana,Metazoa,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,Antilocapra americana,46.0999,Tamburello_etal_2015,
Aplodontia rufa,Metazoa,Mammalia,Rodentia,Aplodontiidae,Aplodontia,Aplodontia rufa,1.135,Mace_Harvey_1983,
Artiodactyla,Metazoa,Mammalia,Artiodactyla,NA,NA,NA,NA,NA,
Baiomys musculus,Metazoa,Mammalia,Rodentia,Cricetidae,Baiomys,Baiomys musculus,0.009,EltonTraits,
Bassariscus,Metazoa,Mammalia,Carnivora,Procyonidae,Bassariscus,NA,NA,NA,
Bison,Metazoa,Mammalia,Artiodactyla,Bovidae,Bison,NA,NA,NA,
Bison bison,Metazoa,Mammalia,Artiodactyla,Bovidae,Bison,Bison bison,629.9992,Tamburello_etal_2015,
Blarina brevicauda,Metazoa,Mammalia,Eulipotyphla,Soricidae,Blarina,Blarina brevicauda,0.018,McNab_1963,
Blarina carolinensis,Metazoa,Mammalia,Eulipotyphla,Soricidae,Blarina,Blarina carolinensis,0.0135,EltonTraits,
Bonasa umbellus,Metazoa,Aves,Galliformes,Phasianidae,Bonasa,Bonasa umbellus,0.908,Mace_Harvey_1983,
Bos,Metazoa,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,
Bos taurus,Metazoa,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,900,EltonTraits,
Brachylagus idahoensis,Metazoa,Mammalia,Lagomorpha,Leporidae,Brachylagus,Brachylagus idahoensis,0.3402,Tamburello_etal_2015,
Branta canadensis,Metazoa,Aves,Anseriformes,Anatidae,Branta,Branta canadensis,3.814,Jenkins_etal_2007,
Callospermophilus lateralis,Metazoa,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis,0.191,EltonTraits,
Canidae,Metazoa,Mammalia,Carnivora,Canidae,NA,NA,NA,NA,
Canis,Metazoa,Mammalia,Carnivora,Canidae,Canis,NA,NA,NA,
Canis lupus,Metazoa,Mammalia,Carnivora,Canidae,Canis,Canis lupus,37,Hein_etal_2012,
Canis lupus familiaris,Metazoa,Mammalia,Carnivora,Canidae,Canis,Canis lupus,37,Hein_etal_2012,
Capra,Metazoa,Mammalia,Artiodactyla,Bovidae,Capra,NA,NA,NA,
Capra hircus,Metazoa,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,50.99998,Tamburello_etal_2015,
Carnivora,Metazoa,Mammalia,Carnivora,NA,NA,NA,NA,NA,
Castor canadensis,Metazoa,Mammalia,Rodentia,Castoridae,Castor,Castor canadensis,20.25,Jenkins_etal_2007,
Castoridae,Metazoa,Mammalia,Rodentia,Castoridae,NA,NA,NA,NA,
Cebus capucinus,Metazoa,Mammalia,Primates,Cebidae,Cebus,Cebus capucinus,3.11,Galan-Acedo et al. 2019,
Centrocercus urophasianus,Metazoa,Aves,Galliformes,Phasianidae,Centrocercus,Centrocercus urophasianus,1.75,Tamburello_etal,
Cephalogonimus americanus,Metazoa,Trematoda,Plagiorchiida,Cephalogonimidae,Cephalogonimus,Cephalogonimus americanus,#N/A,NA,*flatworms
Cervidae,Metazoa,Mammalia,Artiodactyla,Cervidae,NA,NA,NA,NA,
Cervus canadensis canadensis,Metazoa,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus canadensis,270,Hein_etal_2012,
Cervus elaphus,Metazoa,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus elaphus,234.75778,Tamburello_etal_2015,
Cervus elaphus canadensis,Metazoa,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus canadensis,270,Hein_etal_2012,
Chaetodipus baileyi,Metazoa,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,0.02635,EltonTraits,
Chaetodipus formosus,Metazoa,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus formosus,0.01945,EltonTraits,
Chaetodipus penicillatus,Metazoa,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus penicillatus,0.01689,EltonTraits,
Chaetodipus spinatus,Metazoa,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus spinatus,0.01635,EltonTraits,
Charadriidae,Metazoa,Aves,Charadriiformes,Charadriidae,NA,NA,NA,NA,
Charadrius nivosus,Metazoa,Aves,Charadriiformes,Charadriidae,Anarhynchus,Anarhynchus nivosus,0.0423,EltonTraits,
Chordeiles acutipennis,Metazoa,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles acutipennis,0.04842,EltonTraits,
Chordeiles minor,Metazoa,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles minor,0.062,Hein_etal_2012,
Coendou mexicanus,Metazoa,Mammalia,Rodentia,Erethizontidae,Coendou,Coendou mexicanus,2,EltonTraits,
Colaptes auratus,Metazoa,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus,0.132,Best_etal_1996,
Coleoptera,Metazoa,Insecta,Coleoptera,NA,NA,NA,NA,NA,
Conepatus semistriatus,Metazoa,Mammalia,Carnivora,Mephitidae,Conepatus,Conepatus semistriatus,1.2,EltonTraits,
Corvus corax,Metazoa,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,1.134,Armstrong_1965,
Cotinis mutabilis,Metazoa,Insecta,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis,#N/A,NA,*Figeater beetle
Cratogeomys merriami,Metazoa,Mammalia,Rodentia,Geomyidae,Cratogeomys,Cratogeomys merriami,0.41999,EltonTraits,
Cricetidae,Metazoa,Mammalia,Rodentia,Cricetidae,NA,NA,NA,NA,
Crotalus atrox,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus atrox,0.006163066,RepTraits,
Crotalus cerastes,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus cerastes,0.0003138,RepTraits,
Crotalus molossus,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus molossus,0.001302737,RepTraits,
Crotalus pyrrhus,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus pyrrhus,#N/A,NA,*Southwestern Speckled Rattlesnake
Crotalus scutulatus,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus scutulatus,0.001387499,RepTraits,
Crotalus stephensi,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus stephensi,0.00116915,RepTraits,
Crotaphytus bicinctores,Metazoa,Lepidosauria,Squamata,Iguanidae,Crotaphytus,Crotaphytus bicinctores,5.24807E-05,RepTraits,
Cuniculus paca,Metazoa,Mammalia,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,8.17255,EltonTraits,
Cygnus,Metazoa,Aves,Anseriformes,Anatidae,Cygnus,NA,NA,NA,
Cyrtonyx montezumae,Metazoa,Aves,Galliformes,Odontophoridae,Cyrtonyx,Cyrtonyx montezumae,0.18538,EltonTraits,
Dasyprocta punctata,Metazoa,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta punctata,2.67498,EltonTraits,
Dasypus novemcinctus,Metazoa,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,4.20378,EltonTraits,
Dendragapus obscurus,Metazoa,Aves,Galliformes,Phasianidae,Dendragapus,Dendragapus obscurus,1.05,Schoener_1968,
Dermaptera,Metazoa,Insecta,Dermaptera,NA,NA,NA,NA,NA,
Didelphidae,Metazoa,Mammalia,Didelphimorphia,Didelphidae,NA,NA,NA,NA,
Didelphis marsupialis,Metazoa,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis marsupialis,2.724,Harestad_ Bunnel_1979,
Didelphis virginiana,Metazoa,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis virginiana,3.63,McNab_1963,
Dipodidae,Metazoa,Mammalia,Rodentia,Dipodidae,NA,NA,NA,NA,
Dipodomys,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,NA,NA,NA,
Dipodomys compactus,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys compactus,0.04925,EltonTraits,
Dipodomys deserti,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys deserti,0.1045,EltonTraits,
Dipodomys merriami,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys merriami,0.04182,Tamburello_etal_2015,
Dipodomys microps,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys microps,0.0546,EltonTraits,
Dipodomys venustus,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys venustus,0.072,EltonTraits,
Echinostoma,Metazoa,Trematoda,Plagiorchiida,Echinostomatidae,Echinostoma,NA,NA,NA,
Echinostoma trivolvis,Metazoa,Trematoda,Plagiorchiida,Echinostomatidae,Echinostoma,Echinostoma trivolvis,#N/A,NA,*flatworms
Equus caballus,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus,427.99629,tamburello_etal,
Eulipotyphla,Metazoa,Mammalia,Eulipotyphla,NA,NA,NA,NA,NA,
Falcipennis canadensis,Metazoa,Aves,Galliformes,Phasianidae,Falcipennis,Falcipennis canadensis,0.456,Zammuto_1986,
Felidae,Metazoa,Mammalia,Carnivora,Felidae,NA,NA,NA,NA,
Felis catus,Metazoa,Mammalia,Carnivora,Felidae,Felis,Felis catus,2.8848,EltonTraits,
Felis silvestris,Metazoa,Mammalia,Carnivora,Felidae,Felis,Felis silvestris,4.7,Gittleman and Harvey (1982),
Fulica americana,Metazoa,Aves,Gruiformes,Rallidae,Fulica,Fulica americana,0.63674,EltonTraits,
Gallus gallus,Metazoa,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,0.75172,EltonTraits,
Geomyidae,Metazoa,Mammalia,Rodentia,Geomyidae,NA,NA,NA,NA,
Geomys breviceps,Metazoa,Mammalia,Rodentia,Geomyidae,Geomys,Geomys breviceps,0.13647,EltonTraits,
Geomys pinetis,Metazoa,Mammalia,Rodentia,Geomyidae,Geomys,Geomys pinetis,0.085,EltonTraits,
Glaucomys sabrinus,Metazoa,Mammalia,Rodentia,Sciuridae,Glaucomys,Glaucomys sabrinus,0.14884,Tamburello_etal_2015,
Gopherus agassizii,Metazoa,NA,Testudines,Testudinidae,Gopherus,Gopherus agassizii,2,Tamburello_etal,
Halichoerus grypus,Metazoa,Mammalia,Carnivora,Phocidae,Halichoerus,Halichoerus grypus,157.667,EltonTraits,
Heloderma suspectum,Metazoa,Lepidosauria,Squamata,Helodermatidae,Heloderma,Heloderma suspectum,0.000977237,RepTraits,
Heteromyidae,Metazoa,Mammalia,Rodentia,Heteromyidae,NA,NA,NA,NA,
Ictidomys tridecemlineatus,Metazoa,Mammalia,Rodentia,Sciuridae,Ictidomys,Ictidomys tridecemlineatus,0.193,Harestad_ Bunnel_1979,
Lagomorpha,Metazoa,Mammalia,Lagomorpha,NA,NA,NA,NA,NA,
Lampropeltis triangulum,Metazoa,Lepidosauria,Squamata,Colubridae,Lampropeltis,Lampropeltis triangulum,0.165,Tamburello_etal_2015,
Lemmiscus curtatus,Metazoa,Mammalia,Rodentia,Cricetidae,Lemmiscus,Lemmiscus curtatus,0.02827,EltonTraits,
Leopardus pardalis,Metazoa,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,9.98964,Tamburello_etal_2015,
Leporidae,Metazoa,Mammalia,Lagomorpha,Leporidae,NA,NA,NA,NA,
Lepus,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,NA,NA,NA,
Lepus americanus,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus,1.36079,Tamburello_etal_2015,
Lepus californicus,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus californicus,2.26798,Tamburello_etal_2015,
Liomys pictus,Metazoa,Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys pictus,0.04,EltonTraits,
Lontra canadensis,Metazoa,Mammalia,Carnivora,Mustelidae,Lontra,Lontra canadensis,6.225,Prugh_etal_2008,
Lynx rufus,Metazoa,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,11.33992,Tamburello_etal_2015,
Mareca strepera strepera,Metazoa,Aves,Anseriformes,Anatidae,Mareca,Mareca strepera,0.719,Tamburello_etal,
Marmota,Metazoa,Mammalia,Rodentia,Sciuridae,Marmota,NA,NA,NA,
Marmota caligata,Metazoa,Mammalia,Rodentia,Sciuridae,Marmota,Marmota caligata,7.23003,EltonTraits,
Marmota monax,Metazoa,Mammalia,Rodentia,Sciuridae,Marmota,Marmota monax,3.40197,Tamburello_etal_2015,
Marmota olympus,Metazoa,Mammalia,Rodentia,Sciuridae,Marmota,Marmota olympus,6.29999,EltonTraits,
