finest_taxon,kingdom,class,order,family,genus,species,Mass_kg,Mass_source,notes
Aepyceros melampus,Metazoa,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,63.50384,Tamburello_etal_2015,NA
Raphicerus sharpei,Metazoa,Mammalia,Artiodactyla,Bovidae,Raphicerus,Raphicerus sharpei,9.49992,EltonTraits,NA
Alces alces,Metazoa,Mammalia,Artiodactyla,Cervidae,Alces,Alces alces,307.22744,Tamburello_etal_2015,NA
Amphispiza bilineata,Metazoa,Aves,Passeriformes,Passerellidae,Amphispiza,Amphispiza bilineata,0.0135,EltonTraits,NA
Anas acuta,Metazoa,Aves,Anseriformes,Anatidae,Anas,Anas acuta,0.94,Hein_Gillooly_2011,NA
Anas cyanoptera,Metazoa,Aves,Anseriformes,Anatidae,Spatula,Spatula cyanoptera,0.37745,EltonTraits,NA
Anas platyrhynchos,Metazoa,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,1.082,Jenkins_etal_2007,NA
Anaxyrus boreas,Metazoa,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,0.0402,Carey 1979 (https://link.springer.com/article/10.1007/BF00348070),NA
Antilocapra americana,Metazoa,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,Antilocapra americana,46.0999,Tamburello_etal_2015,NA
Aplodontia rufa,Metazoa,Mammalia,Rodentia,Aplodontiidae,Aplodontia,Aplodontia rufa,1.135,Mace_Harvey_1983,NA
Baiomys musculus,Metazoa,Mammalia,Rodentia,Cricetidae,Baiomys,Baiomys musculus,0.009,EltonTraits,NA
Bison bison,Metazoa,Mammalia,Artiodactyla,Bovidae,Bison,Bison bison,629.9992,Tamburello_etal_2015,NA
Blarina brevicauda,Metazoa,Mammalia,Eulipotyphla,Soricidae,Blarina,Blarina brevicauda,0.018,McNab_1963,NA
Blarina carolinensis,Metazoa,Mammalia,Eulipotyphla,Soricidae,Blarina,Blarina carolinensis,0.0135,EltonTraits,NA
Bonasa umbellus,Metazoa,Aves,Galliformes,Phasianidae,Bonasa,Bonasa umbellus,0.908,Mace_Harvey_1983,NA
Bos taurus,Metazoa,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,900,EltonTraits,NA
Brachylagus idahoensis,Metazoa,Mammalia,Lagomorpha,Leporidae,Brachylagus,Brachylagus idahoensis,0.3402,Tamburello_etal_2015,NA
Branta canadensis,Metazoa,Aves,Anseriformes,Anatidae,Branta,Branta canadensis,3.814,Jenkins_etal_2007,NA
Callospermophilus lateralis,Metazoa,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis,0.191,EltonTraits,NA
Canis lupus,Metazoa,Mammalia,Carnivora,Canidae,Canis,Canis lupus,37,Hein_etal_2012,NA
Canis lupus familiaris,Metazoa,Mammalia,Carnivora,Canidae,Canis,Canis lupus,37,Hein_etal_2012,NA
Capra hircus,Metazoa,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,50.99998,Tamburello_etal_2015,NA
Castor canadensis,Metazoa,Mammalia,Rodentia,Castoridae,Castor,Castor canadensis,20.25,Jenkins_etal_2007,NA
Cebus capucinus,Metazoa,Mammalia,Primates,Cebidae,Cebus,Cebus capucinus,3.11,Galan-Acedo et al. 2019,NA
Centrocercus urophasianus,Metazoa,Aves,Galliformes,Phasianidae,Centrocercus,Centrocercus urophasianus,1.75,Tamburello_etal,NA
Cervus canadensis canadensis,Metazoa,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus canadensis,270,Hein_etal_2012,NA
Cervus elaphus,Metazoa,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus elaphus,234.75778,Tamburello_etal_2015,NA
Cervus elaphus canadensis,Metazoa,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus canadensis,270,Hein_etal_2012,NA
Chaetodipus baileyi,Metazoa,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,0.02635,EltonTraits,NA
Chaetodipus formosus,Metazoa,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus formosus,0.01945,EltonTraits,NA
Chaetodipus penicillatus,Metazoa,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus penicillatus,0.01689,EltonTraits,NA
Chaetodipus spinatus,Metazoa,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus spinatus,0.01635,EltonTraits,NA
Charadrius nivosus,Metazoa,Aves,Charadriiformes,Charadriidae,Anarhynchus,Anarhynchus nivosus,0.0423,EltonTraits,NA
Chordeiles acutipennis,Metazoa,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles acutipennis,0.04842,EltonTraits,NA
Chordeiles minor,Metazoa,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Chordeiles minor,0.062,Hein_etal_2012,NA
Coendou mexicanus,Metazoa,Mammalia,Rodentia,Erethizontidae,Coendou,Coendou mexicanus,2,EltonTraits,NA
Colaptes auratus,Metazoa,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus,0.132,Best_etal_1996,NA
Conepatus semistriatus,Metazoa,Mammalia,Carnivora,Mephitidae,Conepatus,Conepatus semistriatus,1.2,EltonTraits,NA
Corvus corax,Metazoa,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,1.134,Armstrong_1965,NA
Cratogeomys merriami,Metazoa,Mammalia,Rodentia,Geomyidae,Cratogeomys,Cratogeomys merriami,0.41999,EltonTraits,NA
Crotalus atrox,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus atrox,0.006163066,RepTraits,NA
Crotalus cerastes,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus cerastes,3.138e-4,RepTraits,NA
Crotalus molossus,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus molossus,0.001302737,RepTraits,NA
Crotalus scutulatus,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus scutulatus,0.001387499,RepTraits,NA
Crotalus stephensi,Metazoa,Lepidosauria,Squamata,Viperidae,Crotalus,Crotalus stephensi,0.00116915,RepTraits,NA
Crotaphytus bicinctores,Metazoa,Lepidosauria,Squamata,Iguanidae,Crotaphytus,Crotaphytus bicinctores,5.24807e-5,RepTraits,NA
Cuniculus paca,Metazoa,Mammalia,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,8.17255,EltonTraits,NA
Cyrtonyx montezumae,Metazoa,Aves,Galliformes,Odontophoridae,Cyrtonyx,Cyrtonyx montezumae,0.18538,EltonTraits,NA
Dasyprocta punctata,Metazoa,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta punctata,2.67498,EltonTraits,NA
Dasypus novemcinctus,Metazoa,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,4.20378,EltonTraits,NA
Dendragapus obscurus,Metazoa,Aves,Galliformes,Phasianidae,Dendragapus,Dendragapus obscurus,1.05,Schoener_1968,NA
Didelphis marsupialis,Metazoa,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis marsupialis,2.724,Harestad_ Bunnel_1979,NA
Didelphis virginiana,Metazoa,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis virginiana,3.63,McNab_1963,NA
Dipodomys compactus,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys compactus,0.04925,EltonTraits,NA
Dipodomys deserti,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys deserti,0.1045,EltonTraits,NA
Dipodomys merriami,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys merriami,0.04182,Tamburello_etal_2015,NA
Dipodomys microps,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys microps,0.0546,EltonTraits,NA
Dipodomys venustus,Metazoa,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys venustus,0.072,EltonTraits,NA
Equus caballus,Metazoa,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus,427.99629,tamburello_etal,NA
Falcipennis canadensis,Metazoa,Aves,Galliformes,Phasianidae,Falcipennis,Falcipennis canadensis,0.456,Zammuto_1986,NA
Felis catus,Metazoa,Mammalia,Carnivora,Felidae,Felis,Felis catus,2.8848,EltonTraits,NA
Felis silvestris,Metazoa,Mammalia,Carnivora,Felidae,Felis,Felis silvestris,4.7,Gittleman and Harvey (1982),NA
Fulica americana,Metazoa,Aves,Gruiformes,Rallidae,Fulica,Fulica americana,0.63674,EltonTraits,NA
Gallus gallus,Metazoa,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,0.75172,EltonTraits,NA
Geomys breviceps,Metazoa,Mammalia,Rodentia,Geomyidae,Geomys,Geomys breviceps,0.13647,EltonTraits,NA
Geomys pinetis,Metazoa,Mammalia,Rodentia,Geomyidae,Geomys,Geomys pinetis,0.085,EltonTraits,NA
Glaucomys sabrinus,Metazoa,Mammalia,Rodentia,Sciuridae,Glaucomys,Glaucomys sabrinus,0.14884,Tamburello_etal_2015,NA
Gopherus agassizii,Metazoa,NA,Testudines,Testudinidae,Gopherus,Gopherus agassizii,2,Tamburello_etal,NA
Halichoerus grypus,Metazoa,Mammalia,Carnivora,Phocidae,Halichoerus,Halichoerus grypus,157.667,EltonTraits,NA
Heloderma suspectum,Metazoa,Lepidosauria,Squamata,Helodermatidae,Heloderma,Heloderma suspectum,9.77237e-4,RepTraits,NA
Ictidomys tridecemlineatus,Metazoa,Mammalia,Rodentia,Sciuridae,Ictidomys,Ictidomys tridecemlineatus,0.193,Harestad_ Bunnel_1979,NA
Lampropeltis triangulum,Metazoa,Lepidosauria,Squamata,Colubridae,Lampropeltis,Lampropeltis triangulum,0.165,Tamburello_etal_2015,NA
Lemmiscus curtatus,Metazoa,Mammalia,Rodentia,Cricetidae,Lemmiscus,Lemmiscus curtatus,0.02827,EltonTraits,NA
Leopardus pardalis,Metazoa,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,9.98964,Tamburello_etal_2015,NA
Lepus americanus,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus,1.36079,Tamburello_etal_2015,NA
Lepus californicus,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus californicus,2.26798,Tamburello_etal_2015,NA
Liomys pictus,Metazoa,Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys pictus,0.04,EltonTraits,NA
Lontra canadensis,Metazoa,Mammalia,Carnivora,Mustelidae,Lontra,Lontra canadensis,6.225,Prugh_etal_2008,NA
Lynx rufus,Metazoa,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,11.33992,Tamburello_etal_2015,NA
Mareca strepera strepera,Metazoa,Aves,Anseriformes,Anatidae,Mareca,Mareca strepera,0.719,Tamburello_etal,NA
Marmota caligata,Metazoa,Mammalia,Rodentia,Sciuridae,Marmota,Marmota caligata,7.23003,EltonTraits,NA
