"","species","latitude","longitude","sociality","body_mass_g"
"1","Bathyergus janetta",-27.091706,15.719194,"solitary",385
"2","Bathyergus janetta",-31.094963,17.815128,"solitary",385
"3","Bathyergus janetta",-30.472538,17.369363,"solitary",385
"4","Bathyergus janetta",-30.475622,17.362025,"solitary",385
"5","Bathyergus janetta",-30.65549,17.463868,"solitary",385
"6","Bathyergus janetta",-30.472337,17.369249,"solitary",385
"7","Bathyergus janetta",-30.640127,17.462082,"solitary",385
"8","Bathyergus janetta",-30.429952,17.415819,"solitary",385
"9","Bathyergus janetta",-29.677173,17.132782,"solitary",385
"10","Bathyergus janetta",-29.768505,16.576942,"solitary",385
"11","Bathyergus janetta",-30.37,17.52,"solitary",385
"12","Bathyergus janetta",-30.37,17.52,"solitary",385
"13","Bathyergus janetta",-30.37,17.52,"solitary",385
"14","Bathyergus janetta",-30.37,17.52,"solitary",385
"15","Bathyergus janetta",-30.37,17.52,"solitary",385
"16","Bathyergus janetta",-30.37,17.52,"solitary",385
"17","Bathyergus janetta",-30.37,17.52,"solitary",385
"18","Bathyergus janetta",-30.37,17.52,"solitary",385
"19","Bathyergus janetta",-30.37,17.52,"solitary",385
"20","Bathyergus suillus",-34.35809,18.47189,"solitary",780
"21","Bathyergus suillus",-34.35809,18.47189,"solitary",780
"22","Bathyergus suillus",-34.35809,18.47189,"solitary",780
"23","Bathyergus suillus",-34.35809,18.47189,"solitary",780
"24","Bathyergus suillus",-30.55,23,"solitary",780
"25","Bathyergus suillus",-30.55,23,"solitary",780
"26","Bathyergus suillus",-34.06,18.496111,"solitary",780
"27","Bathyergus suillus",-33.923776,18.423346,"solitary",780
"28","Bathyergus suillus",-34.16667,18.33333,"solitary",780
"29","Bathyergus suillus",-33.868363,18.424063,"solitary",780
"30","Bathyergus suillus",-33.916672,18.41667,"solitary",780
"31","Bathyergus suillus",-34.166672,18.33333,"solitary",780
"32","Bathyergus suillus",-29.25188,16.8697,"solitary",780
"33","Bathyergus suillus",-33.92584,18.42322,"solitary",780
"34","Bathyergus suillus",-32.11692,18.45038,"solitary",780
"35","Bathyergus suillus",-29.26039,16.88326,"solitary",780
"36","Bathyergus suillus",-29.26039,16.88326,"solitary",780
"37","Bathyergus suillus",-29.26039,16.88326,"solitary",780
"38","Bathyergus suillus",-29.26039,16.88326,"solitary",780
"39","Bathyergus suillus",-29.25188,16.8697,"solitary",780
"40","Bathyergus suillus",-29.25188,16.8697,"solitary",780
"41","Bathyergus suillus",-32.09286,18.30387,"solitary",780
"42","Bathyergus suillus",-32.09286,18.30387,"solitary",780
"43","Bathyergus suillus",-32.07078,19.07506,"solitary",780
"44","Bathyergus suillus",-32.07078,19.07506,"solitary",780
"45","Bathyergus suillus",-29.25188,16.8697,"solitary",780
"46","Bathyergus suillus",-30.65826,19.51587,"solitary",780
"47","Bathyergus suillus",-28.7306,25.52734,"solitary",780
"48","Bathyergus suillus",-34.35504,18.48485,"solitary",780
"49","Bathyergus suillus",-34.03661,23.04895,"solitary",780
"50","Bathyergus suillus",-30.54691,23.04395,"solitary",780
"51","Bathyergus suillus",-29.26039,16.88326,"solitary",780
"52","Bathyergus suillus",-28.7306,25.52734,"solitary",780
"53","Bathyergus suillus",-34.705972,19.618025,"solitary",780
"54","Bathyergus suillus",-34.705768,19.617403,"solitary",780
"55","Bathyergus suillus",-34.086417,18.464185,"solitary",780
"56","Bathyergus suillus",-34.089275,18.48462,"solitary",780
"57","Bathyergus suillus",-34.059819,18.498845,"solitary",780
"58","Bathyergus suillus",-33.514538,23.595985,"solitary",780
"59","Bathyergus suillus",-34.788528,20.043367,"solitary",780
"60","Bathyergus suillus",-34.075847,18.765042,"solitary",780
"61","Bathyergus suillus",-33.987998,22.717358,"solitary",780
"62","Bathyergus suillus",-34.048396,18.475703,"solitary",780
"63","Bathyergus suillus",-34.062473,18.496857,"solitary",780
"64","Bathyergus suillus",-33.990206,18.7308,"solitary",780
"65","Bathyergus suillus",-33.887037,18.518022,"solitary",780
"66","Bathyergus suillus",-34.082183,18.470476,"solitary",780
"67","Bathyergus suillus",-33.879213,18.599373,"solitary",780
"68","Bathyergus suillus",-34.100755,18.469334,"solitary",780
"69","Bathyergus suillus",-33.144368,18.004067,"solitary",780
"70","Bathyergus suillus",-34.061732,18.454379,"solitary",780
"71","Bathyergus suillus",-34.057372,18.447854,"solitary",780
"72","Bathyergus suillus",-34.057862,18.447934,"solitary",780
"73","Bathyergus suillus",-34.05647,18.447571,"solitary",780
"74","Bathyergus suillus",-34.062122,18.452145,"solitary",780
"75","Bathyergus suillus",-33.117504,17.983759,"solitary",780
"76","Bathyergus suillus",-33.174642,18.053961,"solitary",780
"77","Bathyergus suillus",-33.103626,17.993151,"solitary",780
"78","Bathyergus suillus",-34.055816,18.431597,"solitary",780
"79","Bathyergus suillus",-34.157867,18.43347,"solitary",780
"80","Bathyergus suillus",-34.290668,21.710149,"solitary",780
"81","Bathyergus suillus",-34.079843,18.470961,"solitary",780
"82","Bathyergus suillus",-31.745607,18.655186,"solitary",780
"83","Bathyergus suillus",-32.615975,18.298045,"solitary",780
"84","Bathyergus suillus",-34.100944,18.480432,"solitary",780
"85","Bathyergus suillus",-34.749042,19.692784,"solitary",780
"86","Bathyergus suillus",-33.951825,18.483863,"solitary",780
"87","Bathyergus suillus",-33.951729,18.483168,"solitary",780
"88","Bathyergus suillus",-34.036822,18.452636,"solitary",780
"89","Bathyergus suillus",-34.069648,18.452618,"solitary",780
"90","Bathyergus suillus",-34.831627,20.006123,"solitary",780
"91","Bathyergus suillus",-33.944122,18.712042,"solitary",780
"92","Bathyergus suillus",-33.984953,22.707014,"solitary",780
"93","Bathyergus suillus",-33.985233,22.707139,"solitary",780
"94","Bathyergus suillus",-33.943007,18.712194,"solitary",780
"95","Bathyergus suillus",-34.074675,18.447597,"solitary",780
"96","Bathyergus suillus",-33.99081,22.702744,"solitary",780
"97","Bathyergus suillus",-33.943105,18.713313,"solitary",780
"98","Bathyergus suillus",-33.953107,18.482559,"solitary",780
"99","Bathyergus suillus",-33.955261,18.536214,"solitary",780
"100","Bathyergus suillus",-32.814441,18.390808,"solitary",780
"101","Bathyergus suillus",-34.017791,22.757946,"solitary",780
"102","Bathyergus suillus",-33.425216,18.951345,"solitary",780
"103","Bathyergus suillus",-33.753143,18.46921,"solitary",780
"104","Bathyergus suillus",-33.752955,18.54697,"solitary",780
"105","Bathyergus suillus",-33.959076,18.48099,"solitary",780
"106","Bathyergus suillus",-33.762504,18.497709,"solitary",780
