ID,fullSib_index,treatment_status
PM_ROT22_355,7,after
PM_ROT20_016_b,7,before
PM_ROT20_007_b,7,before
PM_ROT20_008_b,7,before
PM_ROT22_342,7,after
PM_ROT22_357,7,after
PM_ROT20_004_b,7,before
PM_ROT20_018_b,7,before
PM_ROT22_354,7,after
PM_ROT22_344,7,after
PM_ROT22_345,7,after
PM_ROT22_352,7,after
PM_ROT20_019_b,13,before
PM_ROT20_009_b,13,before
PM_ROT21_773,32,before
PM_ROT21_775,32,before
PM_ROT21_299,32,before
PM_ROT20_039_a,32,before
PM_ROT20_099_a,65,before
PM_ROT20_101_a,66,before
PM_ROT20_103_a,66,before
PM_ROT20_128_a,73,before
PM_ROT20_136_a,73,before
PM_ROT21_049,73,before
PM_ROT20_114_a,73,before
PM_ROT20_120_a,73,before
PM_ROT21_706,379,before
PM_ROT22_422,379,after
PM_ROT20_115_a,63,before
PM_ROT20_109_a,63,before
PM_ROT20_135_a,63,before
PM_ROT20_097_a,63,before
PM_ROT20_112_a,63,before
PM_ROT21_589,63,before
PM_ROT21_252,63,before
PM_ROT20_127_a,63,before
PM_ROT21_250,71,before
PM_ROT21_277,63,before
PM_ROT20_108_a,63,before
PM_ROT20_111_a,71,before
PM_ROT21_453,70,before
PM_ROT20_110_a,70,before
PM_ROT20_118_a,74,before
PM_ROT21_047,75,before
PM_ROT20_138_a,75,before
PM_ROT21_750,75,before
PM_ROT21_278,75,before
PM_ROT21_749,78,before
PM_ROT20_130_a,75,before
PM_ROT20_119_a,75,before
PM_ROT20_126_a,78,before
PM_ROT21_567,79,before
PM_ROT20_131_a,79,before
PM_ROT20_132_a,79,before
PM_ROT21_072,79,before
PM_ROT21_025,98,before
PM_ROT21_664,365,before
PM_ROT21_661,365,before
PM_ROT21_670,368,before
PM_ROT21_665,365,before
PM_ROT21_667,365,before
PM_ROT21_673,365,before
PM_ROT22_498,368,after
PM_ROT21_669,368,before
PM_ROT21_668,368,before
PM_ROT21_672,370,before
PM_ROT21_735,385,before
PM_ROT21_739,370,before
PM_ROT22_491,385,after
PM_ROT21_737,385,before
PM_ROT22_416,385,after
PM_ROT20_005_b,9,before
PM_ROT20_002_b,3,before
PM_ROT22_369,9,after
PM_ROT22_350,9,after
PM_ROT22_351,9,after
PM_ROT22_362,9,after
PM_ROT20_003_b,5,before
PM_ROT22_346,10,after
PM_ROT22_343,10,after
PM_ROT22_363,10,after
PM_ROT20_006_b,10,before
PM_ROT22_358,10,after
PM_ROT22_361,10,after
PM_ROT22_368,10,after
PM_ROT20_011_b,15,before
PM_ROT20_014_b,15,before
PM_ROT20_010_b,15,before
PM_ROT20_017_b,15,before
PM_ROT22_349,15,after
PM_ROT22_404,20,after
PM_ROT22_405,20,after
PM_ROT22_403,20,after
PM_ROT20_021_b,22,before
PM_ROT20_020_b,20,before
PM_ROT21_780,390,before
PM_ROT20_022_b,24,before
PM_ROT21_286,33,before
PM_ROT21_772,214,before
PM_ROT20_041_a,33,before
PM_ROT21_294,33,before
PM_ROT21_297,214,before
PM_ROT20_133_a,80,before
PM_ROT21_785,392,before
PM_ROT20_106_a,68,before
PM_ROT20_141_a,82,before
PM_ROT21_423,72,before
PM_ROT20_117_a,72,before
PM_ROT20_113_a,72,before
PM_ROT21_157,168,before
PM_ROT20_137_a,81,before
PM_ROT20_134_a,77,before
PM_ROT20_125_a,77,before
PM_ROT21_275,81,before
PM_ROT21_051,77,before
